#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
AK|BAL|61.035999|-142.346207|1318.0|Baldy Mountain, AK, USA|2010-06-18T00:00:00|2599-12-31T23:59:59
AK|BARN|61.059502|-141.662201|1689.0|Barnard Glacier, AK, USA|2013-01-01T00:00:00|2599-12-31T23:59:59
AK|DHY|63.075298|-147.3759|1611.0|Denali Highway, AK, USA|2008-07-09T00:00:00|2599-12-31T23:59:59
AK|DIV|61.1292|-145.7749|941.4|Divide Microwave, AK, USA|1999-01-07T00:00:00|2599-12-31T23:59:59
AK|DOT|63.648201|-144.069702|670.0|Dot Lake, AK, USA|2003-10-15T00:00:00|2599-12-31T23:59:59
AK|GHO|61.771|-148.925995|1032.0|Gloryhole, AK, USA|2011-05-30T00:00:00|2599-12-31T23:59:59
AK|GLB|61.4417|-143.8123|854.9|Gilahina Butte, AK, USA|2010-09-12T00:00:00|2599-12-31T23:59:59
AK|K218|61.592602|-149.133194|87.0|Palmer, National Tsunami Warning Center, AK, USA|2009-11-01T00:00:00|2599-12-31T23:59:59
AK|KLU|61.4924|-145.9227|1047.1|Klutina Pass, AK, USA|2008-09-13T00:00:00|2599-12-31T23:59:59
AK|KNK|61.413101|-148.458496|598.0|Knik Glacier, AK, USA|2010-06-13T00:00:00|2599-12-31T23:59:59
AK|MCAR|61.383598|-143.024002|447.0|McCarthy VSAT, AK, USA|2013-01-01T00:00:00|2599-12-31T23:59:59
AK|MCK|63.7318|-148.937302|618.0|McKinley Park, AK, USA|1998-08-15T00:00:00|2599-12-31T23:59:59
AK|PAX|62.969898|-145.469894|1150.0|Paxson, AK, USA|2003-10-06T00:00:00|2599-12-31T23:59:59
AK|PTPK|61.187099|-142.467194|1892.6|Patty Peak Repeater, AK, USA|2013-01-01T00:00:00|2599-12-31T23:59:59
AK|RIDG|63.7399|-144.8462|871.0|Independent Ridge, AK, USA|2007-07-01T00:00:00|2599-12-31T23:59:59
